;ARMAZEM;;;;LOJA_1;;;;;LOJA_2;;;;;LOJA_3
DIA;entra;sai;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO;                        chega;vende;quebra;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO
 66;  0;  0;197;  0;  0;  0;  0; 30;  0;  0;  5;  0;  6;  0;  0;  3;  0; 26;  0;13902.951
 67;  0; 40;157;  0;  0;  2;  0; 28;  0;  0;  0;  0;  6; 40;  0;  0;  0; 26;  0;13951.002
 68;  0;  0;157;  0;  0;  4;  0; 24;  0;  0;  3;  0;  3;  0;  0;  5;  0; 21;  0;14302.377
 69;  0;  0;157;  0;  0;  5;  0; 19;  0;  0;  3;  1;  0;  0;  0;  5;  0; 16;  0;14684.376
 70;  0;  0;157;  0;  0;  5;  0; 14;  0; 40;  4;  0; 36;  0;  0;  0;  0; 16;  0;14944.889
 71;  0;  0;157;  0;  0;  0;  0; 14;  0;  0;  5;  0; 31;  0;  0;  5;  0; 11;  0;15235.881
 72;  0;  0;157;  0;  0;  3;  0; 11;  0;  0;  5;  0; 26;  0;  0;  1;  0; 10;  0;15497.304
 73;  0;  0;157;  0;  0;  0;  0; 11;  0;  0;  1;  0; 25;  0;  0;  4;  0;  6;  0;15638.968
 74;  0; 40;117;  0;  0;  0;  0; 11;  0;  0;  3;  0; 22;  0;  0;  4;  0;  2; 40;15839.828
 75;  0; 40; 77;  0;  0;  3;  0;  8; 40;  0;  2;  0; 20;  0;  0;  0;  0;  2;  0;15982.538
 76;  0;  0; 77;  0;  0;  1;  0;  7;  0;  0;  1;  0; 19;  0;  0;  0;  0;  2;  0;16038.095
 77;  0;  0; 77;  0;  0;  3;  0;  4;  0;  0;  1;  0; 18;  0; 40;  5;  0; 37;  0;16302.165
 78;  0;  0; 77;  0; 40;  0;  0; 44;  0;  0;  0;  0; 18;  0;  0;  1;  0; 36;  0;16324.365
 79;  0;  0; 77;  0;  0;  4;  0; 40;  0;  0;  2;  0; 16;  0;  0;  0;  0; 36;  0;16496.853
 80;  0;  0; 77;276;  0;  1;  0; 39;  0;  0;  1;  0; 15;  0;  0;  2;  0; 34;  0;16409.533
 81;  0;  0; 77;  0;  0;  5;  0; 34;  0;  0;  3;  0; 12;  0;  0;  4;  0; 30;  0;16762.788
 82;  0;  0; 77;  0;  0;  2;  0; 32;  0;  0;  3;  0;  9;  0;  0;  1;  0; 29;  0;16936.330
 83;  0; 40; 37;  0;  0;  3;  0; 29;  0;  0;  2;  0;  7; 40;  0;  5;  0; 24;  0;17229.214
 84;  0;  0; 37;  0;  0;  5;  0; 24;  0;  0;  2;  0;  5;  0;  0;  5;  0; 19;  0;17585.422
 85;  0;  0; 37;  0;  0;  4;  0; 20;  0;  0;  4;  0;  1;  0;  0;  3;  0; 16;  0;17912.158
 86;  0;  0; 37;  0;  0;  0;  0; 20;  0; 40;  4;  0; 37;  0;  0;  2;  0; 14;  0;18087.264
 87;  0;  0; 37;  0;  0;  0;  0; 20;  0;  0;  4;  0; 33;  0;  0;  3;  0; 11;  0;18292.705
 88;  0;  0; 37;  0;  0;  1;  0; 19;  0;  0;  5;  0; 28;  0;  0;  1;  0; 10;  0;18498.482
 89;  0;  0; 37;  0;  0;  5;  0; 14;  0;  0;  2;  0; 26;  0;  0;  0;  0; 10;  0;18704.595
 90;  0;  0; 37;  0;  0;  2;  0; 12;  0;  0;  4;  0; 22;  0;  0;  3;  0;  7;  0;18968.389
 91;  0;  0; 37;  0;  0;  1;  0; 11;  0;  0;  1;  0; 21;  0;  0;  4;  0;  3;  0;19139.721
 92;  0;  0; 37;  0;  0;  5;  0;  6;  0;  0;  2;  0; 19;  0;  0;  3;  1;  0;  0;19437.032
 93;  0;  0; 37;  0;  0;  3;  0;  3;  0;  0;  0;  0; 19;  0;  0;  0;  4;  0;  0;19524.487
 94;276;  0;313;  0;  0;  2;  0;  1;  0;  0;  0;  0; 19;  0;  0;  0;  0;  0;  0;19570.922
 95;  0; 80;233;  0;  0;  1;  0;  0; 40;  0;  1;  0; 18;  0;  0;  0;  4;  0; 40;19615.175
 96;  0;  0;233;  0;  0;  0;  5;  0;  0;  0;  0;  0; 18;  0;  0;  0;  2;  0;  0;19604.928
 97;  0;  0;233;  0;  0;  0;  4;  0;  0;  0;  0;  0; 18;  0;  0;  0;  5;  0;  0;19594.682
