;ARMAZEM;;;;LOJA_1;;;;;LOJA_2;;;;;LOJA_3
DIA;entra;sai;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO;                        chega;vende;quebra;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO
 69;  0;  0;218;  0;  0;  0;  0; 10;  0; 17;  1;  0; 20;  0;  0;  5;  0; 10;  0;13872.414
 70;  0; 17;201;  0;  0;  1;  0;  9; 17;  0;  1;  0; 19;  0;  0;  5;  0;  5;  0;14069.987
 71;  0; 17;184;  0;  0;  5;  0;  4;  0;  0;  3;  0; 16;  0;  0;  1;  0;  4; 17;14328.676
 72;  0;  0;184;  0;  0;  4;  0;  0;  0;  0;  5;  0; 11;  0;  0;  4;  1;  0;  0;14710.738
 73;  0; 17;167;  0; 17;  5;  0; 12;  0;  0;  2;  0;  9; 17;  0;  0;  2;  0;  0;14910.255
 74;  0;  0;167;  0;  0;  2;  0; 10;  0;  0;  3;  0;  6;  0; 17;  5;  0; 12;  0;15202.187
 75;  0;  0;167;  0;  0;  0;  0; 10;  0;  0;  4;  0;  2;  0;  0;  5;  0;  7;  0;15464.550
 76;  0;  0;167;  0;  0;  2;  0;  8;  0; 17;  2;  0; 17;  0;  0;  4;  0;  3;  0;15696.482
 77;  0; 34;133;  0;  0;  1;  0;  7; 17;  0;  5;  0; 12;  0;  0;  3;  0;  0; 17;15954.715
 78;  0;  0;133;  0;  0;  5;  0;  2;  0;  0;  4;  0;  8;  0;  0;  0;  2;  0;  0;16218.879
 79;  0;  0;133;  0;  0;  2;  2;  0;  0;  0;  5;  0;  3;  0;  0;  0;  2;  0;  0;16423.379
 80;  0; 17;116;  0; 17;  0;  0; 17;  0;  0;  2;  0;  1; 17; 17;  1;  0; 16;  0;16504.327
 81;  0;  0;116;276;  0;  1;  0; 16;  0;  0;  1;  1;  0;  0;  0;  0;  0; 16;  0;16358.121
 82;  0;  0;116;  0;  0;  3;  0; 13;  0;  0;  0;  5;  0;  0;  0;  0;  0; 16;  0;16442.058
 83;  0;  0;116;  0;  0;  4;  0;  9;  0; 17;  3;  0; 14;  0;  0;  3;  0; 13;  0;16735.661
 84;  0; 34; 82;  0;  0;  0;  0;  9; 17;  0;  2;  0; 12;  0;  0;  1;  0; 12; 17;16815.276
 85;  0;  0; 82;  0;  0;  5;  0;  4;  0;  0;  4;  0;  8;  0;  0;  2;  0; 10;  0;17140.919
 86;  0;  0; 82;  0;  0;  3;  0;  1;  0;  0;  3;  0;  5;  0;  0;  1;  0;  9;  0;17346.897
 87;  0; 17; 65;  0; 17;  3;  0; 15;  0;  0;  5;  0;  0; 17; 17;  4;  0; 22;  0;17699.755
 88;  0;  0; 65;  0;  0;  4;  0; 11;  0;  0;  0;  2;  0;  0;  0;  4;  0; 18;  0;17935.747
 89;  0;  0; 65;  0;  0;  1;  0; 10;  0;  0;  0;  1;  0;  0;  0;  4;  0; 14;  0;18081.979
 90;  0;  0; 65;  0;  0;  3;  0;  7;  0; 17;  5;  0; 12;  0;  0;  5;  0;  9;  0;18468.018
 91;  0; 34; 31;  0;  0;  5;  0;  2; 17;  0;  4;  0;  8;  0;  0;  1;  0;  8; 17;18760.407
 92;  0;  0; 31;  0;  0;  2;  2;  0;  0;  0;  5;  0;  3;  0;  0;  1;  0;  7;  0;18998.679
 93;  0;  0; 31;  0;  0;  0;  3;  0;  0;  0;  3;  2;  0;  0;  0;  3;  0;  4;  0;19177.239
 94;  0; 17; 14;  0; 17;  3;  0; 14;  0;  0;  0;  3;  0; 17; 17;  2;  0; 19;  0;19322.343
 95;276;  0;290;  0;  0;  0;  0; 14;  0;  0;  0;  5;  0;  0;  0;  5;  0; 14;  0;19459.321
 96;  0;  0;290;  0;  0;  5;  0;  9;  0;  0;  0;  2;  0;  0;  0;  5;  0;  9;  0;19746.778
 97;  0;  0;290;  0;  0;  2;  0;  7;  0; 17;  3;  0; 14;  0;  0;  2;  0;  7;  0;19943.756
 98;  0; 34;256;  0;  0;  3;  0;  4; 17;  0;  2;  0; 12;  0;  0;  5;  0;  2; 17;20227.083
 99;  0;  0;256;  0;  0;  1;  0;  3;  0;  0;  5;  0;  7;  0;  0;  1;  0;  1;  0;20426.246
100;  0;  0;256;  0;  0;  3;  0;  0;  0;  0;  0;  0;  7;  0;  0;  1;  0;  0;  0;20535.600
101;  0; 17;239;  0; 17;  5;  0; 12;  0;  0;  1;  0;  6; 17; 17;  3;  0; 14;  0;20791.690
102;  0;  0;239;  0;  0;  0;  0; 12;  0;  0;  4;  0;  2;  0;  0;  5;  0;  9;  0;21050.962
